"telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"Aba","HH","Abai","Fejér","Közép-Dunántúl",0
"Abaliget","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Abaújalpár","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abaújkér","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abaújlak","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abaújszolnok","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abaújszántó","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abaújvár","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abda","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Abod","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Abony","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"Abádszalók","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Acsa","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"Acsalag","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Acsád","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Adony","nem_hatranyos _besorolasu","Adonyi","Fejér","Közép-Dunántúl",0
"Adorjánháza","nem_hatranyos _besorolasu","Devecseri","Veszprém","Közép-Dunántúl",0
"Adorjás","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Adács","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Adásztevel","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Aggtelek","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Agyagosszergény","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Ajak","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Ajka","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"Aka","HH","Kisbéri","Komárom-Esztergom","Közép-Dunántúl",0
"Akasztó","HH","Kiskőrösi","Bács-Kiskun","Dél-Alföld",0
"Alacska","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alap","HH","Sárbogárdi","Fejér","Közép-Dunántúl",0
"Alattyán","HH","Jászberényi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Albertirsa","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",1
"Alcsútdoboz","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Aldebrő","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Algyő","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",0
"Alibánfa","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Almamellék","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Almásfüzitő","nem_hatranyos _besorolasu","Komáromi","Komárom-Esztergom","Közép-Dunántúl",0
"Almásháza","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Almáskamarás","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Almáskeresztúr","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Alsóberecki","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsóbogát","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Alsódobsza","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsógagy","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsómocsolád","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Alsónemesapáti","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Alsónyék","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Alsónána","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Alsónémedi","nem_hatranyos _besorolasu","Gyáli","Pest","Közép-magyarország",0
"Alsópetény","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Alsópáhok","nem_hatranyos _besorolasu","Hévízi","Zala","Nyugat-Dunántúl",0
"Alsórajk","HH","Pacsai","Zala","Nyugat-Dunántúl",0
"Alsóregmec","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsószenterzsébet","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Alsószentiván","HH","Sárbogárdi","Fejér","Közép-Dunántúl",0
"Alsószentmárton","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Alsószuha","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsószölnök","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"Alsótelekes","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsótold","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Alsóvadász","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsózsolca","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Alsóörs","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",1
"Alsóújlak","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Ambrózfalva","HH","Makói","Csongrád","Dél-Alföld",0
"Anarcs","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Andocs","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Andornaktálya","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Andrásfa","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Annavölgy","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Apagy","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Apaj","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Aparhant","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Apc","nem_hatranyos _besorolasu","Hatvani","Heves","Észak-Magyarország",0
"Apostag","HH","Kunszentmiklósi","Bács-Kiskun","Dél-Alföld",0
"Apácatorna","nem_hatranyos _besorolasu","Devecseri","Veszprém","Közép-Dunántúl",0
"Apátfalva","HH","Makói","Csongrád","Dél-Alföld",0
"Apátistvánfalva","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"Apátvarasd","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Aranyosapáti","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Aranyosgadány","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Arka","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Arló","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Arnót","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Aszaló","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Aszód","nem_hatranyos _besorolasu","Aszódi","Pest","Közép-magyarország",0
"Aszófő","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Atkár","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Attala","HH","Dombóvári","Tolna","Dél-Dunántúl",0
"Babarc","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Babarcszőlős","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Babosdöbréte","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Babócsa","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Babót","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Badacsonytomaj","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Badacsonytördemic","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
